"","SEG","ELEMENT","LENGTH","START_X","START_Y","TRANS_NUM","TOT_LENGTH"
"1",11,"str1",27.16947743,295314.4128,3238196.611,1,27.16947743
"2",38,"str1",27.16947743,294623.3532,3238942.068,5,135.84738715
"3",25,"str1",27.16947743,294808.4493,3238766.633,4,108.67790972
"4",19,"str1",27.16947743,295026.7623,3238588.838,4,108.67790972
"5",13,"str1",27.16947743,295232.2622,3238312.578,5,135.84738715
"6",36,"str1",27.16947743,294683.7932,3238916.991,3,81.50843229
"7",10,"str1",27.16947743,295296.1375,3238216.676,1,27.16947743
"8",53,"str2",22.43571837,295759.3164,3237717.695,3,67.30715511
"9",17,"str1",27.16947743,295182.8381,3238402.868,4,108.67790972
"10",42,"str2",22.43571837,295865.1282,3237593.405,1,22.43571837
"11",35,"str1",27.16947743,294681.7251,3238944.082,3,81.50843229
"12",39,"str1",27.16947743,294629.3078,3238915.559,2,54.33895486
"13",20,"str1",27.16947743,295049.3074,3238573.815,2,54.33895486
"14",3,"str1",27.16947743,295401.1475,3238093.089,4,108.67790972
"15",18,"str1",27.16947743,295003.6349,3238603.097,4,108.67790972
"16",32,"str1",27.16947743,294942.0013,3238634.698,1,27.16947743
"17",27,"str1",27.16947743,294850.71,3238732.749,2,54.33895486
"18",34,"str1",27.16947743,294724.7723,3238826.843,4,108.67790972
"19",37,"str1",27.16947743,294685.8613,3238889.9,5,135.84738715
"20",9,"str1",27.16947743,295276.868,3238235.83,4,108.67790972
"21",40,"str1",27.16947743,294592.7542,3238982.222,1,27.16947743
"22",55,"str2",22.43571837,295789.04,3237684.08,5,112.17859185
"23",33,"str1",27.16947743,294706.8367,3238847.251,3,81.50843229
"24",29,"str1",27.16947743,294881.0141,3238688.276,1,27.16947743
"25",52,"str2",22.43571837,295744.4546,3237734.502,4,89.74287348
"26",4,"str1",27.16947743,295419.4259,3238072.987,3,81.50843229
"27",61,"str2",22.43571837,295656.9572,3237804.104,1,22.43571837
"28",50,"str2",22.43571837,295918.5542,3237432.474,2,44.87143674
"29",1,"str1",27.16947743,295364.6028,3238133.302,1,27.16947743
"30",54,"str2",22.43571837,295774.1782,3237700.887,4,89.74287348
"31",58,"str2",22.43571837,295833.6255,3237633.658,3,67.30715511
"32",66,"str2",22.43571837,295556.3459,3237897.331,5,112.17859185
"33",22,"str1",27.16947743,295084.284,3238533.752,5,135.84738715
"34",16,"str1",27.16947743,295164.9417,3238423.31,3,81.50843229
"35",24,"str1",27.16947743,295106.7122,3238484.633,4,108.67790972
"36",2,"str1",27.16947743,295382.8691,3238113.191,5,135.84738715
"37",48,"str2",22.43571837,295922.566,3237477.166,3,67.30715511
"38",8,"str1",27.16947743,295260.5625,3238257.354,1,27.16947743
"39",7,"str1",27.16947743,295474.261,3238012.682,1,27.16947743
"40",56,"str2",22.43571837,295803.9018,3237667.273,2,44.87143674
"41",64,"str2",22.43571837,295529.2706,3237933.114,5,112.17859185
"42",60,"str2",22.43571837,295641.2186,3237820.093,4,89.74287348
"43",31,"str1",27.16947743,294920.8002,3238651.689,5,135.84738715
"44",59,"str2",22.43571837,295625.4799,3237836.082,4,89.74287348
"45",49,"str2",22.43571837,295920.5601,3237454.82,3,67.30715511
"46",12,"str1",27.16947743,295331.8131,3238175.745,5,135.84738715
"47",51,"str2",22.43571837,295729.5928,3237751.31,1,22.43571837
"48",26,"str1",27.16947743,294830.509,3238750.773,2,54.33895486
"49",47,"str2",22.43571837,295924.572,3237499.512,1,22.43571837
"50",63,"str2",22.43571837,295515.733,3237951.005,5,112.17859185
"51",5,"str1",27.16947743,295437.7043,3238052.885,2,54.33895486
"52",46,"str2",22.43571837,295915.2166,3237518.941,3,67.30715511
"53",57,"str2",22.43571837,295818.7637,3237650.465,3,67.30715511
"54",30,"str1",27.16947743,294899.5992,3238668.68,4,108.67790972
"55",45,"str2",22.43571837,295902.6945,3237537.557,4,89.74287348
"56",43,"str2",22.43571837,295877.6503,3237574.789,4,89.74287348
"57",41,"str1",27.16947743,294543.3495,3239025.25,4,108.67790972
"58",14,"str1",27.16947743,295240.3202,3238286.631,4,108.67790972
"59",21,"str1",27.16947743,295069.1958,3238555.305,5,135.84738715
"60",6,"str1",27.16947743,295455.9826,3238032.784,1,27.16947743
"61",44,"str2",22.43571837,295890.1724,3237556.173,1,22.43571837
"62",23,"str1",27.16947743,295093.3504,3238508.208,1,27.16947743
"63",62,"str2",22.43571837,295672.6959,3237788.115,3,67.30715511
"64",15,"str1",27.16947743,295147.0453,3238443.753,3,81.50843229
"65",65,"str2",22.43571837,295542.8083,3237915.223,2,44.87143674
"66",28,"str1",27.16947743,294868.2554,3238712.264,4,108.67790972
